SM4 | ANF_CSE_LS-primitive depth=1240   size=1316   Toffoli_N=2627   Depth_N=2376  ancilla=140 ops={'cx': 650, 'mcx': 364, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=50085  size=74282 ancilla=140 ops={'u': 44858, 'cx': 29416, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1249   size=1326   Toffoli_N=2593   Depth_N=2373  ancilla=145 ops={'cx': 666, 'mcx': 358, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=49394  size=73520 ancilla=145 ops={'u': 44340, 'cx': 29172, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1260   size=1336   Toffoli_N=2610   Depth_N=2396  ancilla=150 ops={'cx': 669, 'mcx': 365, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=49418  size=73560 ancilla=150 ops={'u': 44349, 'cx': 29203, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1267   size=1346   Toffoli_N=2601   Depth_N=2399  ancilla=155 ops={'cx': 678, 'mcx': 366, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=49130  size=73060 ancilla=155 ops={'u': 44036, 'cx': 29016, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1275   size=1356   Toffoli_N=2605   Depth_N=2411  ancilla=160 ops={'cx': 684, 'mcx': 370, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=49086  size=72830 ancilla=160 ops={'u': 43884, 'cx': 28938, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1283   size=1366   Toffoli_N=2611   Depth_N=2425  ancilla=165 ops={'cx': 690, 'mcx': 374, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=49044  size=72706 ancilla=165 ops={'u': 43790, 'cx': 28908, 'measure': 8}
